"region","file_name","result"
"asia","nepa004.rwl","rwl"
"asia","nepa005.rwl","rwl"
"asia","nepa006.rwl","rwl"
"asia","nepa007.rwl","rwl"
"asia","nepa008.rwl","rwl"
"asia","nepa009.rwl","rwl"
"asia","nepa010.rwl","rwl"
"asia","nepa011.rwl","rwl"
"asia","nepa012.rwl","rwl"
"asia","nepa013.rwl","rwl"
"asia","nepa014.rwl","rwl"
"asia","nepa015.rwl","rwl"
"asia","nepa016.rwl","rwl"
"asia","nepa017.rwl","rwl"
"asia","nepa018.rwl","rwl"
"asia","nepa019.rwl","rwl"
"asia","nepa020.rwl","rwl"
"asia","nepa021.rwl","rwl"
"asia","nepa022.rwl","rwl"
"asia","nepa023.rwl","rwl"
"asia","nepa024.rwl","rwl"
"asia","nepa025.rwl","rwl"
"asia","nepa026.rwl","rwl"
"asia","nepa027.rwl","rwl"
"asia","nepa028.rwl","rwl"
"asia","nepa029.rwl","rwl"
"asia","nepa030.rwl","rwl"
"asia","nepa031.rwl","rwl"
"asia","nepa032.rwl","rwl"
"asia","nepa033.rwl","rwl"
"asia","nepa034.rwl","rwl"
"asia","nepa035.rwl","rwl"
"asia","nepa036.rwl","rwl"
"asia","nepa037.rwl","rwl"
"asia","nepa038.rwl","rwl"
"asia","nepa039.rwl","rwl"
"asia","nepa040.rwl","rwl"
"asia","nepa041.rwl","rwl"
"asia","nepa042.rwl","rwl"
"asia","nepa043.rwl","rwl"
"asia","nepa044.rwl","rwl"
"asia","nepa045.rwl","rwl"
"asia","nepa046.rwl","rwl"
"asia","nepa047.rwl","rwl"
"asia","nepa048.rwl","rwl"
"asia","nepa049.rwl","rwl"
"asia","nepa050.rwl","rwl"
"asia","nepa051.rwl","rwl"
"asia","nepa052.rwl","rwl"
"asia","nepa053.rwl","rwl"
"asia","nepa054.rwl","rwl"
"asia","nepa055.rwl","rwl"
"asia","nepa056.rwl","rwl"
"asia","nepa057.rwl","rwl"
"asia","nepa058.rwl","rwl"
"asia","nepa059.rwl","rwl"
"asia","nepa060.rwl","rwl"
"asia","nepa061.rwl","rwl"
"asia","npl062.rwl","rwl"
"asia","npl063.rwl","rwl"
"asia","npl064.rwl","rwl"
"asia","npl065.rwl","rwl"
"asia","pak042.rwl","rwl"
"asia","paki001.rwl","rwl"
"asia","paki002.rwl","rwl"
"asia","paki003.rwl","rwl"
"asia","paki004.rwl","rwl"
"asia","paki005.rwl","rwl"
"asia","paki006.rwl","rwl"
"asia","paki007.rwl","rwl"
"asia","paki008.rwl","rwl"
"asia","paki009.rwl","rwl"
"asia","paki010.rwl","rwl"
"asia","paki011.rwl","rwl"
"asia","paki012.rwl","rwl"
"asia","paki013.rwl","rwl"
